Latitude,Longitude,Altitude,Rainfall_Intensity,Temperature,Humidity,Atmospheric_Pressure,River_Level,Drainage_Capacity,Drainage_System_Condition,Population_Density,Urbanization_Level,flood,Zone,threshold,Rain_Exceeds_Threshold,HighRain_LowDrainage,HighRain_HighRiver,HighRain_LowAltitude,HighRain_BadDrainSys,LowPressure_StormRisk,HighHumidity_PoorDrain,HighPop_LowDrain,HighUrban_HeavyRain,LowAlt_HighUrban
13.031867,77.531658,997.63,40.06,33.83,98.73,931.65,4.58,89.96,5,24933.97,3,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.984063,77.538374,901.12,125.92,33.56,47.63,941.29,6.83,30.38,5,8446.1,5,1,4,115.67525207391708,1,0,1,1,0,0,0,0,0,0
13.041713,77.513711,857.61,133.27,26.44,66.72,992.63,8.94,34.12,1,23934.69,2,1,4,115.67525207391708,1,0,1,1,1,0,0,0,0,0
13.022119,77.540799,929.57,86.91,20.96,55.28,923.08,6.37,95.29,1,26669.09,9,1,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
12.979876,77.56523,855.38,80.88,22.8,43.8,967.39,4.52,49.48,9,2919.99,7,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.980739,77.506028,829.46,18.02,16.31,86.44,955.12,4.83,48.19,6,22131.4,7,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.079864,77.51188,802.79,36.07,34.95,69.07,961.58,2.37,48.34,9,8257.72,6,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.013528,77.513709,818.87,77.62,27.7,81.57,900.83,5.2,14.12,10,7134.18,4,1,4,115.67525207391708,0,0,0,0,0,1,1,0,0,0
13.051728,77.50335,834.42,82.29,26.43,65.43,931.33,0.29,82.57,7,22515.1,7,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.98469,77.513367,968.8,141.61,18.21,71.42,906.67,8.97,39.63,10,9169.99,2,1,4,115.67525207391708,1,0,1,0,0,1,0,0,0,0
12.959775,77.532467,843.01,30.78,19.2,56.14,998.21,3.82,39.5,10,29608.86,8,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.053304,77.504146,811.23,68.65,24.67,95.35,906.92,7.91,98.28,7,1449.92,3,0,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
13.08071,77.518299,990.73,81.98,33.37,97.49,933.34,5.59,9.76,7,6333.5,2,0,4,115.67525207391708,0,0,0,0,0,0,1,0,0,0
13.011763,77.531132,935.61,141.26,17.56,47.84,978.28,2.63,96.14,5,14264.71,7,1,4,115.67525207391708,1,0,0,0,0,0,0,0,0,0
13.026375,77.514167,899.26,79.18,21.66,52.84,962.63,1.08,26.16,10,8161.55,10,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,1
13.064781,77.535638,918.29,39.82,17.23,80.62,940.88,8.34,26.42,9,19866.22,7,1,4,115.67525207391708,0,0,0,0,0,0,1,0,0,0
12.97725,77.553121,911.44,8.92,29.04,49.01,916.97,1.17,10.1,7,22943.19,3,1,4,115.67525207391708,0,0,0,0,0,1,0,1,0,0
13.02344,77.552871,892.81,79.91,26.18,63.4,900.55,1.2,12.39,3,7984.61,3,0,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
12.994345,77.506288,904.15,55.53,15.87,98.72,964.21,5.19,87.6,9,27098.88,8,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.044053,77.550486,936.77,46.61,27.03,67.62,904.37,8.95,94.96,5,21247.67,1,0,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
12.992409,77.530826,907.69,57.88,18.1,64.39,994.24,0.72,74.02,2,25584.77,3,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.051643,77.516892,852.72,116.49,22.44,91.05,978.43,3.0,26.55,2,27542.19,9,0,4,115.67525207391708,1,1,0,1,1,0,1,0,1,1
12.975878,77.545483,806.51,137.17,33.94,87.93,959.77,3.09,5.78,6,7732.84,1,1,4,115.67525207391708,1,1,0,1,0,0,1,0,0,0
13.040681,77.559222,984.92,132.5,28.45,97.08,925.37,4.38,48.77,5,21111.35,9,1,4,115.67525207391708,1,0,0,0,0,0,0,0,1,0
13.08391,77.541261,852.38,147.29,26.22,77.51,944.02,7.92,49.08,10,5717.1,2,1,4,115.67525207391708,1,0,1,1,0,0,0,0,0,0
12.970632,77.52766,916.93,86.91,28.83,41.78,960.19,1.98,28.31,10,29085.43,6,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.978177,77.51143,885.68,76.34,30.92,52.13,958.38,0.04,29.1,2,27887.85,4,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
13.06099,77.558323,805.39,141.94,27.35,47.38,911.81,8.28,85.85,2,22496.7,3,1,4,115.67525207391708,1,0,1,1,1,1,0,0,0,0
13.090348,77.553094,918.57,40.86,21.07,89.27,947.96,5.34,22.73,7,28892.02,7,0,4,115.67525207391708,0,0,0,0,0,0,1,0,0,0
13.020252,77.536167,911.01,28.28,27.24,66.9,916.02,2.82,57.02,1,29676.82,4,0,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
13.005336,77.542322,850.28,117.48,30.32,58.59,921.34,1.2,56.0,7,25466.44,4,1,4,115.67525207391708,1,0,0,1,0,1,0,0,0,0
12.944789,77.505548,971.69,50.38,21.28,90.11,997.99,3.43,59.11,4,8385.02,1,0,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.965935,77.555549,962.91,41.54,27.37,53.28,963.46,7.89,67.03,5,12989.68,5,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.955074,77.52774,886.8,125.74,16.17,95.28,908.8,8.06,86.65,3,11359.97,1,1,4,115.67525207391708,1,0,1,1,1,1,0,0,0,0
12.940472,77.507587,982.54,27.39,18.02,57.65,945.79,5.97,19.29,4,26211.77,3,1,4,115.67525207391708,0,0,0,0,0,0,0,1,0,0
12.937433,77.518297,835.83,116.9,29.0,94.83,990.32,0.82,92.71,7,7714.62,5,0,4,115.67525207391708,1,0,0,1,0,0,0,0,0,0
13.060977,77.526417,921.13,41.3,20.68,74.77,917.53,1.63,17.76,3,9466.78,10,1,4,115.67525207391708,0,0,0,0,0,1,0,0,0,0
12.94524,77.523213,903.95,11.41,28.97,97.22,926.16,2.97,51.97,1,5902.65,4,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
12.999051,77.532829,815.9,116.91,19.85,47.43,956.16,7.38,33.37,10,2422.17,1,1,4,115.67525207391708,1,0,1,1,0,0,0,0,0,0
13.065738,77.507982,895.65,53.53,18.7,80.41,984.6,8.23,37.5,4,10983.74,8,1,4,115.67525207391708,0,0,0,0,0,0,0,0,0,0
